"x","Sick","color","pen down?","x","Immune","color","pen down?","x","Healthy","color","pen down?","x","Total","color","pen down?","x","Vaccinated","color","pen down?"
"0","10","15","true","0","0","5","true","0","290","55","true","0","300","0","true","0","0","95","true"
"1","10","15","true","1","0","5","true","1","290","55","true","1","300","0","true","1","13","95","true"
"2","11","15","true","2","0","5","true","2","289","55","true","2","300","0","true","2","26","95","true"
"3","15","15","true","3","0","5","true","3","285","55","true","3","300","0","true","3","38","95","true"
"4","20","15","true","4","0","5","true","4","280","55","true","4","300","0","true","4","50","95","true"
"5","20","15","true","5","0","5","true","5","280","55","true","5","300","0","true","5","58","95","true"
"6","23","15","true","6","0","5","true","6","277","55","true","6","300","0","true","6","68","95","true"
"7","26","15","true","7","0","5","true","7","274","55","true","7","300","0","true","7","78","95","true"
"8","26","15","true","8","0","5","true","8","274","55","true","8","300","0","true","8","86","95","true"
"9","29","15","true","9","0","5","true","9","271","55","true","9","300","0","true","9","97","95","true"
"10","32","15","true","10","0","5","true","10","268","55","true","10","300","0","true","10","107","95","true"
"11","33","15","true","11","0","5","true","11","267","55","true","11","300","0","true","11","116","95","true"
"12","36","15","true","12","0","5","true","12","264","55","true","12","300","0","true","12","125","95","true"
"13","37","15","true","13","0","5","true","13","263","55","true","13","300","0","true","13","133","95","true"
"14","37","15","true","14","0","5","true","14","263","55","true","14","300","0","true","14","138","95","true"
"15","31","15","true","15","4","5","true","15","262","55","true","15","297","0","true","15","148","95","true"
"16","32","15","true","16","4","5","true","16","264","55","true","16","300","0","true","16","156","95","true"
"17","34","15","true","17","4","5","true","17","262","55","true","17","300","0","true","17","161","95","true"
"18","32","15","true","18","6","5","true","18","261","55","true","18","299","0","true","18","169","95","true"
"19","33","15","true","19","6","5","true","19","261","55","true","19","300","0","true","19","175","95","true"
"20","33","15","true","20","6","5","true","20","260","55","true","20","299","0","true","20","179","95","true"
"21","32","15","true","21","7","5","true","21","261","55","true","21","300","0","true","21","185","95","true"
"22","33","15","true","22","7","5","true","22","259","55","true","22","299","0","true","22","189","95","true"
"23","34","15","true","23","7","5","true","23","259","55","true","23","300","0","true","23","195","95","true"
"24","32","15","true","24","9","5","true","24","259","55","true","24","300","0","true","24","202","95","true"
"25","33","15","true","25","9","5","true","25","258","55","true","25","300","0","true","25","208","95","true"
"26","33","15","true","26","9","5","true","26","258","55","true","26","300","0","true","26","214","95","true"
"27","32","15","true","27","11","5","true","27","257","55","true","27","300","0","true","27","218","95","true"
"28","33","15","true","28","10","5","true","28","256","55","true","28","299","0","true","28","223","95","true"
"29","34","15","true","29","10","5","true","29","256","55","true","29","300","0","true","29","227","95","true"
"30","34","15","true","30","11","5","true","30","255","55","true","30","300","0","true","30","231","95","true"
"31","37","15","true","31","11","5","true","31","252","55","true","31","300","0","true","31","234","95","true"
"32","39","15","true","32","11","5","true","32","250","55","true","32","300","0","true","32","235","95","true"
"33","41","15","true","33","11","5","true","33","248","55","true","33","300","0","true","33","237","95","true"
"34","39","15","true","34","13","5","true","34","248","55","true","34","300","0","true","34","238","95","true"
"35","39","15","true","35","13","5","true","35","248","55","true","35","300","0","true","35","242","95","true"
